ad,Atlas
ag,Diagram
aj,Map
ak,Profile
aq,Model
ar,Remote-sensing image
as,Section
au,Unspecified
ay,View
az,Other
cb,Chip cartridge
cc,Computer optical disc cartridge
cd,"Computer disc, type unspecified"
ce,"Computer disc cartridge, type unspecified"
cf,Tape cassette
ch,Tape reel
cj,Magnetic disk
ck,Computer card
cm,Magneto-optical disc
co,Optical disc
cr,Remote
cs,Standalone device
cu,Unspecified
cz,Other
da,Celestial globe
db,Planetary or lunar globe
dc,Terrestrial globe
de,Earth moon globe
du,Unspecified
dz,Other
fa,Moon
fb,Braille
fc,Combination
fd,Tactile, with no writing system
fu,Unspecified
fz,Other
gc,Filmstrip cartridge
gd,Filmslip
gf,"Filmstrip, type unspecified"
go,Filmstrip roll
gs,Slide
gt,Transparency
gu,Unspecified
gz,Other
ha,Aperture card
hb,Microfilm cartridge
hc,Microfilm cassette
hd,Microfilm reel
he,Microfiche
hf,Microfiche cassette
hg,Microopaque
hh,Microfilm slip
hj,Microfilm roll
hu,Unspecified
hz,Other
ka,Activity card
kc,Collage
kd,Drawing
ke,Painting
kf,Photomechanical print
kg,Photonegative
kh,Photoprint
ki,Picture
kj,Print
kk,Poster
kl,Technical drawing
kn,Chart
ko,Flash card
kp,Postcard
kq,Icon
kr,Radiograph
ks,Study print
ku,Unspecified
kv,"Photograph, type unspecified"
kz,Other
mc,Film cartridge
mf,Film cassette
mo,Film roll
mr,Film reel
mu,Unspecified
mz,Other
ou,Unspecified
qu,Unspecified
ru,Unspecified
sd,Sound disc
se,Cylinder
sg,Sound cartridge
si,Sound-track film
sq,Roll
sr,Remote
ss,Sound cassette
st,Sound-tape reel
su,Unspecified
sw,Wire recording
sz,Other
ta,Regular print
tb,Large print
tc,Braille
td,Loose-leaf
tu,Unspecified
tz,Other
vc,Videocartridge
vd,Videodisc
vf,Videocassette
vr,Videoreel
vu,Unspecified
vz,Other
zm,Multiple physical forms
zu,Unspecified
zz,Other
